Mouse ID,Embedding
Day 0_A8-3-L.png,"[ 0.71286935, -4.312081  ,  2.6934786 , -3.0653095 , -4.0755134 ,
 -0.68092924,  1.8339375 ,  0.41738805,  5.1892834 ,  3.388228  ,
 -4.0343328 , -2.548246  ,  4.085985  , -0.4447416 ,  3.8975646 ,
 -0.3368825 ]"
Day 14_A8-4-L.png,"[ 0.7118882 ,  3.066865  , -2.9071314 ,  3.560766  ,  1.7645502 ,
  0.1690612 , -1.4840555 , -1.1534935 , -2.7217705 , -0.85794336,
  1.9120216 ,  1.9042734 , -3.2274728 ,  0.10934271, -3.298212  ,
 -0.55979514]"
Day 7_Y8-1-L.png,"[-0.7550632 ,  2.4373944 , -0.8857135 ,  1.6232411 ,  2.1110778 ,
  0.264399  , -0.6838888 ,  0.00298289, -2.3049548 , -1.6181056 ,
  1.913217  ,  0.6891895 , -1.8339207 , -0.12673469, -1.9539359 ,
  0.4580524 ]"
Day 11_A8-4-L.png,"[ 1.4652967e+00,  2.6243954e+00, -3.1167154e+00,  3.7850587e+00,
  9.0502262e-01, -5.2223489e-02, -1.5489948e+00, -1.6056882e+00,
 -2.0102544e+00,  2.2481261e-03,  1.1820885e+00,  2.1437371e+00,
 -2.9540174e+00,  2.7298346e-01, -3.0407193e+00, -1.0051423e+00]"
Day 1_Y8-1-R.png,"[-1.3290963 ,  0.32155377,  1.1435272 , -0.76646346,  0.5615556 ,
  0.01643022,  0.24945846,  0.98543245, -0.350413  , -0.9896878 ,
  0.7264216 , -0.66609734,  0.6021173 , -0.0316064 ,  0.5147415 ,
  0.77755207]"
Day 3_Y8-2-R.png,"[-0.24388324, -1.6671175 ,  1.116999  , -2.3220453 , -0.23133837,
  0.26206395,  0.70174164,  0.2566555 ,  1.1863562 ,  0.00366224,
 -0.7779569 , -0.6710768 ,  0.9736795 , -0.14622116,  1.6378161 ,
  0.23919387]"
Day 7_Y8-3-L.png,"[-0.28156725,  3.1570547 , -1.7761365 ,  2.7355773 ,  2.2897544 ,
  0.18956538, -1.1287825 , -0.44326454, -2.892608  , -1.5666584 ,
  2.155673  ,  1.3030854 , -2.6213946 , -0.06920879, -2.9075844 ,
  0.32189015]"
Day 0_A8-5-L.png,"[ 0.6414579 , -3.5184963 ,  2.1929345 , -2.6151755 , -3.4863553 ,
 -0.58312696,  1.5882553 ,  0.28850332,  4.510538  ,  2.9246666 ,
 -3.3941064 , -2.093777  ,  3.4393892 , -0.37263417,  3.3186748 ,
 -0.2490219 ]"
Day 14_Y8-3-L.png,"[ 0.73234797,  2.297508  , -2.2406185 ,  3.0760233 ,  0.9408725 ,
 -0.04431924, -1.153831  , -1.0147442 , -1.523805  , -0.2696583 ,
  1.0805596 ,  1.4280604 , -2.2730896 ,  0.20413741, -2.3257797 ,
 -0.7481499 ]"
Day 8_Y8-2-L.png,"[-0.8573455 ,  2.06294   , -0.61829877,  1.2969267 ,  1.6323969 ,
  0.18945599, -0.5976357 ,  0.322422  , -2.079716  , -1.5036529 ,
  1.789671  ,  0.57816064, -1.298222  ,  0.05346367, -1.4510266 ,
  0.45732102]"
Day 10_A8-3-R.png,"[-0.43307292,  2.926156  , -1.5936177 ,  2.426301  ,  2.1413455 ,
  0.1857502 , -1.0241746 , -0.1945454 , -2.816496  , -1.5600257 ,
  2.1169796 ,  1.1746069 , -2.3429887 , -0.01788256, -2.5855575 ,
  0.25528604]"
